filename,domain,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9,config_10,config_11,config_12,best_config
doc_20.txt,Legal_Documents,0.5,0.6,0.5,0.6,0.3,0.6,0.4,0.6,0.7,0.7,0.7,0.7,config_9
doc_21.txt,Legal_Documents,0.8,0.6,0.6,0.7,0.9,0.7,0.7,0.9,0.0,0.9,0.1,1.0,config_12
doc_22.txt,Legal_Documents,0.4,0.7,0.7,0.7,0.3,0.5,0.3,0.6,0.8,0.8,0.8,0.8,config_9
doc_23.txt,Legal_Documents,0.9,0.8,0.8,1.0,0.4,0.8,0.5,1.0,1.0,1.0,1.0,1.0,config_4
doc_24.txt,Legal_Documents,0.9,0.8,1.0,1.0,0.2,1.0,0.2,0.9,1.0,1.0,1.0,1.0,config_3
doc_25.txt,Legal_Documents,0.8,0.6,0.7,0.9,0.5,0.7,0.5,0.8,1.0,1.0,1.0,1.0,config_9
doc_26.txt,Legal_Documents,0.6,0.6,0.6,0.6,0.4,0.7,0.4,0.8,0.9,0.9,0.9,0.9,config_9
doc_27.txt,Legal_Documents,0.6,0.6,0.6,0.5,0.1,0.7,0.3,0.7,0.8,0.8,0.8,0.8,config_9
doc_28.txt,Legal_Documents,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.18181818181818182,0.7272727272727273,0.2727272727272727,0.8181818181818182,1.0,1.0,1.0,1.0,config_9
doc_29.txt,Legal_Documents,0.8,0.8,0.8,0.8,0.9,0.6,0.6,0.7,0.3,0.6,0.2,0.8,config_5
doc_30.txt,Legal_Documents,0.6,0.2,0.4,0.6,0.1,0.2,0.2,0.9,0.9,0.9,0.9,0.9,config_8
doc_01.txt,Technical_Documentation,0.6,0.7,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_5
doc_02.txt,Technical_Documentation,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.1,1.0,config_4
doc_03.txt,Technical_Documentation,0.3,0.7,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_5
doc_04.txt,Technical_Documentation,1.0,0.9,0.9,1.0,0.1,1.0,0.1,1.0,1.0,1.0,1.0,1.0,config_1
doc_05.txt,Technical_Documentation,0.6,0.9,0.7,0.9,0.4,0.8,0.7,1.0,1.0,1.0,1.0,1.0,config_8
doc_06.txt,Technical_Documentation,0.8,0.8,0.8,0.9,0.2,0.7,0.2,0.9,1.0,1.0,1.0,1.0,config_9
doc_07.txt,Technical_Documentation,0.7,0.3,0.6,0.8,0.1,0.4,0.0,0.5,0.8,0.8,0.8,0.8,config_4
doc_08.txt,Technical_Documentation,0.7,0.7,0.7,0.7,0.8,0.6,0.7,0.7,0.0,0.9,0.0,0.9,config_10
doc_09.txt,Technical_Documentation,0.8,1.0,0.9,0.9,0.8,0.9,0.8,0.8,1.0,1.0,1.0,1.0,config_2
doc_10.txt,Technical_Documentation,0.7,0.9,0.9,0.9,0.5,0.7,0.6,0.9,0.9,0.9,0.9,0.9,config_2
doc_11.txt,Technical_Documentation,0.9,0.9,0.9,0.9,0.1,0.9,0.0,0.9,1.0,1.0,1.0,1.0,config_9
doc_12.txt,Technical_Documentation,0.7,0.5,0.8,0.7,0.8,0.7,0.9,0.7,0.3,0.9,0.3,0.8,config_7
