feature,f_score,p_value
sbert_70,1.0475419671552375,0.4056660673569323
sbert_148,1.0466622284635971,0.40633953960804703
sbert_112,1.0465240401648153,0.4064453894369117
sbert_371,1.0453705369442559,0.4073296047807942
sbert_327,1.042555029481485,0.4094927060392098
sbert_155,1.0418335008025779,0.4100481549177933
sbert_129,1.0370147248625996,0.4137693408696229
sbert_37,1.035384752069323,0.41503259336216625
sbert_174,1.0351661719227752,0.41520217022535305
sbert_237,1.0311788184342894,0.4183028057336399
sbert_0,1.026435270612964,0.42200917273516275
sbert_27,1.0243965836415012,0.42360797317393356
sbert_16,1.0204587312970206,0.42670609305993074
sbert_175,1.018823745571567,0.4279962533552588
sbert_220,1.015798518186145,0.4303893410926399
sbert_169,1.014493072354865,0.4314243605920036
